6849,En køreplan for oprettelse af en bankunion,2024-02-23 11:51:58.337,7
6860,Forslag til forordning om strejkeretten (Monti II),2023-11-28 12:53:17.547,7
6870,Forslag til forordning om regler for den fælles landbrugspolitiks ordninger for direkte støtte til landbrugere,2024-04-29 13:55:21.527,7
7027,Forslag til forordning om markeder for finansielle instrumenter og ændring af forordning [EMIR] om OTC-derivater m.m. (MiFIR),2023-06-16 15:22:48.577,7
7269,Forslag til Lufthavnspakken,2025-03-06 15:58:25.607,7
7287,Om statsministerens åbningsredegørelse.,2024-03-14 08:46:53.113,11
7373,Om fastsættelse af embedsperiode for Folketingets Ombudsmand.,2025-01-15 16:10:11.700,3
7413,"Meddelelse om den finansielle ramme for finansiering af EU-samarbejdet med staterne i Afrika, Vestindien og Stillehavet og de oversøiske lande og territorier for perioden 2014-2020",2025-04-28 09:51:59.920,7
7419,Forslag til forordning om implementering af EU’s system for egne indtægter,2025-04-10 16:08:40.540,7
7429,Forslag til forordning om fælles EU-købelov,2025-03-07 15:29:36.453,7
7443,Forslag til Antidiskriminationsdirektiv,2024-03-27 12:12:29.263,7
7826,Om statsministerens redegørelse i henhold til grundlovens § 38.,2024-03-14 08:33:15.810,9
7830,R 1,2024-03-14 08:52:53.797,9
7972,FORSLAG TIL FORORDNING om flerårig plan for laksebestanden i Østersøen samt fiskeri,2025-03-07 14:23:32.020,7
7985,Forslag til afgørelse om Den Internationale Hvalfangstkommission (under ICWR),2024-08-20 10:46:37.213,7
8130,Om ændring af lov om revisionen af statens regnskaber m.m.,2025-01-15 16:15:34.457,3
8281,Om folketingsmedlemmers eftervederlag.,2025-01-15 15:31:50.587,5
8660,Om det arabiske forår.,2025-04-01 16:19:29.997,2
8711,"Forslag til direktiv om fælles ordning for beskatning af renter og royalties, der betales mellem associerede selskaber i forskellige medlemsstater",2025-03-06 15:53:25.937,7
8723,"Forslag til direktiv om årsregnskaber, konsoliderede regnskaber m.m. for visse virksomhedsformer (renteswaps)",2023-09-26 10:31:31.853,7
8987,"Forslag til direktiv om elevatorer ",2024-03-01 17:24:46.963,7
9276,"Om valg til Folketinget, bedre udnyttelse af Folketingets medlemsboliger.",2025-01-15 16:14:33.480,3
9280,Om regeringens sikkerhedspolitiske redegørelse.,2025-03-31 10:53:00.350,11
9658,Dansk henvendelse til Ruslands præsident.,2025-03-28 13:45:07.997,5
9730,Anerkendelse af en selvstændig palæstinensisk stat.,2025-03-28 13:43:08.370,5
9931,Om statsrevisorernes valg og virksomhed.,2025-01-15 15:30:02.003,5
10027,Om en VVM-redegørelse om en betalingsring ved København.,2024-05-03 11:45:57.663,5
10271,Om en privatfinansieret havnetunnel i København.,2024-05-03 12:31:01.540,5
10334,"Beretning om anvendelsen, virkningen af forordningen om visse fluorholdige drivhusgasser ",2025-04-28 10:36:14.527,7
10365,Forslag til afgørelse om forbindelserne mellem EU og Grønland/Danmark,2025-02-20 15:31:21.507,7
10483,Om udvidelse af børneattestordningen.,2024-10-28 13:38:54.907,3
10761,Forslag til forordning om forbedring af værdipapirafviklingen,2023-10-10 10:53:41.720,7
11013,Om større ledelsesbeføjelser til skoleledelserne.,2024-05-03 12:31:16.357,5
11039,Om gennemførelse af en uvildig undersøgelse af effekten af vandmiljøplanerne.,2024-05-03 12:31:36.993,5
