9025,"Forslaget blev vedtaget. For stemte 110 (S, V, M, SF, DD, LA, KF, EL, RV, DF, ALT og NB), imod stemte 0, hverken for eller imod stemte 0.",1,NULL,13091,1,241580,2023-02-23 10:02:28.927
9026,"Forslaget blev forkastet. For stemte 47 (SF, DD, LA, KF, EL, DF, ALT og NB), imod stemte 62 (S, V, M og RV), hverken for eller imod stemte 0.",0,NULL,13091,4,241863,2023-02-23 11:30:15.410
9027,"Forslaget blev forkastet. For stemte 33 (SF, DD, EL, DF, ALT og NB), imod stemte 76 (S, V, M, LA, KF og RV), hverken for eller imod stemte 0.",0,NULL,13091,4,241863,2023-02-23 11:30:48.537
9028,"Forslaget blev forkastet. For stemte 68 (SF, DD, LA, KF, EL, DF, ALT og NB), imod stemte 94 (S, V, M og RV), hverken for eller imod stemte 0.",0,NULL,13092,4,241865,2023-02-28 13:13:22.160
9029,"Forslaget blev vedtaget. For stemte 95 (S, V, M og RV), imod stemte 68 (SF, DD, LA, KF, EL, DF, ALT og NB), hverken for eller imod stemte 0.",1,NULL,13092,1,241865,2023-02-28 16:36:12.670
9030,"Forslaget blev forkastet. For stemte 35 (SF, EL, DF og NB), imod stemte 124 (S, V, M, DD, LA, KF og RV), hverken for eller imod stemte 5 (ALT).",0,NULL,13092,1,242329,2023-02-28 16:37:26.280
9031,"Forslaget blev vedtaget. For stemte 109 (S, V, M, SF, DD, LA, KF, EL, RV, DF, ALT og NB), imod stemte 0, hverken for eller imod stemte 0.",1,NULL,13093,1,241891,2023-03-02 10:01:30.497
9032,"Forslaget blev vedtaget. For stemte 111 (S, V, M, SF, DD, LA, KF, EL, RV, DF, ALT og NB), imod stemte 0, hverken for eller imod stemte 0.",1,NULL,13093,1,241878,2023-03-02 10:02:14.963
9033,"Forslaget blev vedtaget. For stemte 109 (S, V, M, SF, DD, LA, KF, EL, RV, DF, ALT og NB), imod stemte 0, hverken for eller imod stemte 0.",1,NULL,13093,1,241735,2023-03-02 10:02:56.957
9034,"Forslaget blev vedtaget. For stemte 91 (S, V, M, SF, DD, EL, DF, ALT og NB), imod stemte 18 (LA, KF og RV), hverken for eller imod stemte 0.",1,NULL,13152,1,241852,2023-03-14 13:04:15.767
9035,"Forslaget blev vedtaget. For stemte 109 (S, V, M, SF, DD, LA, KF, EL, RV, DF, ALT og NB), imod stemte 0, hverken for eller imod stemte 0.",1,NULL,13152,1,241748,2023-03-14 13:05:42.557
9036,"Forslaget blev forkastet. For stemte 6 (Lise Bech (DD), DF og NB), imod stemte 101 (S, V, M, SF, DD, LA, KF, EL, RV og ALT), hverken for eller imod stemte 0.",0,Ved en fejl stemte Lise Bech (DD) for ændringsforslaget.,13201,4,242140,2023-03-24 11:10:39.720
9037,"Forslaget blev forkastet. For stemte 19 (DD, KF, DF og NB), imod stemte 90 (S, V, M, SF, LA, EL, RV og ALT), hverken for eller imod stemte 0.",0,NULL,13201,4,242140,2023-03-21 13:19:06.327
9038,"Forslaget blev vedtaget. For stemte 102 (S, V, M, SF, DD, LA, KF, EL, DF og NB), imod stemte 8 (RV og ALT), hverken for eller imod stemte 0.",1,NULL,13203,1,241813,2023-03-23 10:01:21.210
9039,"Forslaget blev vedtaget. For stemte 109 (S, V, M, SF, DD, LA, KF, EL, RV, DF, ALT og NB), imod stemte 0, hverken for eller imod stemte 0.",1,NULL,13203,1,241826,2023-03-23 10:02:00.230
9040,"Forslaget blev vedtaget. For stemte 106 (S, V, M, SF, DD, LA, KF, Jette Gottlieb (EL), RV, DF, ALT og NB), imod stemte 4 (EL), hverken for eller imod stemte 0.",1,Ved en fejl stemte Jette Gottlieb (EL) for forslaget.,13203,1,242508,2023-03-23 11:29:26.527
