;;;;;;;;;;
;;;;;;;;;;
ROUND;TEAM;GOALS;GOALS_AGAINST;SHOTS;xGOALS;POSSESSION;CORNERS;FOULS_COMMITTED;CARDS_RED;CARDS_YELLOW
7;Randers FC;1;0;12;00.07;50.2%;4;13;0;2
7;Vejle Boldklub;0;1;14;1;52.3%;5;17;0;3
7;AaB;0;1;17;01.01;49.8%;13;8;0;2
8;Viborg FF;5;0;20;03.08;56.1%;2;9;0;1
8;AaB;2;1;12;01.05;47.7%;1;8;0;1
8;FC Midtjylland;2;1;17;00.09;48.4%;17;10;0;3
8;Brøndby IF;2;0;17;02.09;59%;7;14;0;1
8;Lyngby Boldklub;1;2;16;01.05;52.3%;5;9;0;3
8;F.C. København;1;2;12;01.05;51.6%;3;15;0;5
8;AGF;1;1;10;00.09;59.8%;5;13;0;3
8;Silkeborg IF;1;1;6;00.06;40.2%;4;10;0;1
8;Randers FC;1;1;11;01.01;33.3%;3;5;0;1
8;FC Nordsjælland;1;1;13;01.02;66.7%;7;10;0;1
8;Vejle Boldklub;0;5;16;00.09;43.9%;3;16;0;3
8;Sønderjyske Fodbold;0;2;5;00.05;41%;1;6;0;1
9;Viborg FF;3;2;13;01.04;36.3%;2;9;0;3
9;Silkeborg IF;3;3;13;02.01;47.2%;1;8;0;0
9;Brøndby IF;3;3;20;02.09;52.8%;7;11;1;1
9;FC Nordsjælland;2;3;22;2;63.7%;5;14;0;1
9;FC Midtjylland;2;2;12;01.03;49.4%;4;6;1;1
9;Randers FC;2;2;17;01.05;50.6%;6;11;0;1
9;Sønderjyske Fodbold;2;1;14;01.01;55%;4;10;0;1
9;F.C. København;2;0;28;03.02;69.4%;7;12;0;2
9;Vejle Boldklub;1;2;8;00.07;45%;2;11;0;5
9;AGF;0;0;15;01.06;73.7%;12;11;0;2
9;Lyngby Boldklub;0;0;5;00.01;26.3%;5;20;0;4
9;AaB;0;2;2;00.01;30.6%;2;9;0;2
10;FC Nordsjælland;4;1;12;01.03;57%;3;8;0;3
10;FC Midtjylland;3;1;18;02.01;58.9%;10;7;0;2
10;AaB;3;0;18;01.05;55.6%;3;9;0;2
10;AGF;2;2;13;01.09;56.4%;1;16;0;4
10;Randers FC;2;2;7;00.03;43.6%;5;17;0;6
10;Silkeborg IF;2;2;11;01.05;51.3%;9;10;0;2
10;Lyngby Boldklub;2;2;17;01.05;48.7%;5;13;0;1
10;F.C. København;2;1;24;02.06;69.1%;9;9;0;2
10;Viborg FF;1;3;12;01.07;41.1%;0;13;0;4
10;Vejle Boldklub;1;2;3;1;30.9%;4;17;0;6
10;Brøndby IF;1;4;13;00.09;43%;4;13;0;4
10;Sønderjyske Fodbold;0;3;16;1;44.4%;4;14;0;2
11;FC Nordsjælland;4;1;23;03.07;78.2%;9;10;0;2
11;Vejle Boldklub;2;2;14;01.04;41%;8;16;0;1
11;AaB;2;2;20;01.03;59%;6;10;0;1
11;Brøndby IF;2;0;16;01.06;51.8%;8;11;0;1
11;F.C. København;2;2;21;01.08;56.3%;7;18;0;4
11;Silkeborg IF;2;2;5;01.04;43.7%;1;11;0;3
11;AGF;1;1;12;01.03;49.5%;6;13;1;3
11;Randers FC;1;1;6;00.08;52.8%;5;11;0;0
11;Sønderjyske Fodbold;1;4;7;01.03;21.8%;1;8;0;0
11;Lyngby Boldklub;1;1;15;1;47.2%;7;6;0;2
11;Viborg FF;1;1;13;01.06;50.5%;2;5;0;1
11;FC Midtjylland;0;2;10;01.01;48.2%;5;6;1;1
12;F.C. København;3;1;15;02.01;61.3%;0;9;0;0
12;Sønderjyske Fodbold;3;2;15;01.09;49.1%;4;13;0;1
12;Randers FC;2;0;11;02.01;48%;1;12;0;3
12;FC Midtjylland;2;3;19;02.02;50.9%;10;7;0;2
12;Vejle Boldklub;1;3;10;00.07;38.7%;5;15;0;2
12;Silkeborg IF;1;1;5;00.07;34.6%;3;8;0;1
12;FC Nordsjælland;1;1;15;01.07;65.4%;7;9;0;2
12;AGF;1;0;14;01.05;41.3%;6;11;1;1
