1,Endelig vedtagelse,2014-08-06 14:40:50.207
2,Udvalgsindstilling,2014-08-06 14:40:50.207
3,Forslag til vedtagelse,2014-08-06 14:40:50.207
4,Ændringsforslag,2014-08-06 14:40:50.207
